tool		CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
systemc/transmitter.05.cil.yml	false	TIMEOUT (false(unreach-call))	705.191989325	598.9616045629955	14999.998464				ERROR (1)	0.726245565	0.4176649490109412	34.586624			
xcsp/Haystacks-17.yml	true	TIMEOUT	713.412799756	673.7982753189972	7499.997184				ERROR (1)	0.604608519	0.36285316600697115	32.444416			
combinations/Problem05_label42+token_ring.04.cil-1.yml	true	OUT OF MEMORY	537.218100981	427.8640126840037	14999.998464				ERROR (1)	0.536022449	0.3155586529901484	29.413376			
combinations/Problem05_label42+token_ring.05.cil-1.yml	true	TIMEOUT	801.49619009	661.3918445529998	14726.471680				ERROR (1)	0.519157928	0.3102899430086836	29.200384			
combinations/Problem05_label42+token_ring.05.cil-2.yml	false	TIMEOUT (false(unreach-call))	724.194699826	586.4803245000003	14624.116736				false(unreach-call)	693.698216952	575.5136535709898	13835.726848			
combinations/Problem05_label43+token_ring.04.cil-1.yml	true	unknown	546.489379058	436.168932949	14981.058560				OUT OF MEMORY	517.309214262	412.5026314340066	14999.998464			
combinations/Problem05_label43+token_ring.05.cil-2.yml	false	TIMEOUT (false(unreach-call))	707.932642271	586.2790162829988	13772.296192				false(unreach-call)	763.478832819	629.7119473820057	14123.806720			
combinations/Problem05_label45+token_ring.04.cil-1.yml	true	OUT OF MEMORY	534.358637116	419.3339724890029	14999.998464				ERROR (1)	0.543123306	0.32056540199846495	30.027776			
combinations/Problem05_label45+token_ring.05.cil-1.yml	true	TIMEOUT	781.423898073	628.125200126	14308.859904				unknown	785.94454905	630.4225175879983	14646.579200			
combinations/Problem05_label45+token_ring.05.cil-2.yml	false	TIMEOUT (false(unreach-call))	713.504436926	589.2951355469995	13762.801664				false(unreach-call)	776.065394428	653.4118520370102	13430.640640			
