tool		CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-patterns/array20_pattern.yml	true	unknown	8.902829434	4.608731732998422	205.615104				unknown	9.028907923	4.660649817000376	213.225472			
array-patterns/array21_pattern.yml	true	unknown	7.515859385	3.8791026400031114	195.076096				unknown	8.191095208	4.242109455008176	196.550656			
array-patterns/array22_pattern.yml	true	unknown	10.072738899	5.217087584998808	227.106816				unknown	10.758737542	5.572072331007803	205.737984			
array-patterns/array23_pattern.yml	true	unknown	12.193736742	6.249533402999077	225.259520				unknown	11.107176931	5.775960745988414	231.022592			
array-patterns/array24_pattern.yml	true	unknown	9.352314012	4.811906880000606	228.438016				unknown	9.265908166	4.890235129001667	225.939456			
array-patterns/array25_pattern.yml	true	unknown	7.477622092	3.9053721509990282	200.404992				unknown	7.704365402	3.990271874004975	207.360000			
array-patterns/array26_pattern.yml	true	unknown	8.072410054	4.247931776997575	201.224192				unknown	7.512515786	3.9075421529996675	201.375744			
array-patterns/array27_pattern.yml	true	unknown	6.775379679	3.5285820019998937	189.169664				unknown	7.042379796	3.7246276730002137	184.041472			
array-patterns/array28_pattern.yml	true	unknown	7.281441581	3.765682387002016	192.167936				unknown	7.596533577	3.952946031000465	185.008128			
array-patterns/array29_pattern.yml	true	unknown	8.081094708	4.207392969998182	184.999936				unknown	6.89387241	3.6716957980097504	183.529472			
array-patterns/array2_pattern.yml	true	unknown	8.711536131	4.499437594997289	181.010432				unknown	7.342398035	3.807203586999094	183.746560			
array-patterns/array30_pattern.yml	true	unknown	6.924122735	3.6401168160009547	182.165504				unknown	7.275142239	3.797827161004534	186.589184			
